date,open,close,high,low,涨跌幅,涨跌额,volume,成交额,振幅,换手率,ma50,ma200
2026-01-15 13:05:00,5.25,5.25,5.25,5.24,0.0,0.0,9284.0,4871831.0,0.19,0.0,5.307799999999999,5.40125
2026-01-15 13:10:00,5.25,5.25,5.26,5.24,0.0,0.0,10587.0,5558691.0,0.38,0.0,5.303999999999999,5.400400000000001
2026-01-15 13:15:00,5.25,5.26,5.26,5.25,0.19,0.01,2875.0,1511495.0,0.19,0.0,5.3014,5.3995500000000005
2026-01-15 13:20:00,5.25,5.25,5.27,5.25,-0.19,-0.01,7404.0,3894737.0,0.38,0.0,5.2988,5.39865
2026-01-15 13:25:00,5.25,5.26,5.26,5.25,0.19,0.01,1867.0,981290.0,0.19,0.0,5.2964,5.39785
2026-01-15 13:30:00,5.26,5.26,5.26,5.25,0.0,0.0,2590.0,1360912.0,0.19,0.0,5.2938,5.39705
2026-01-15 13:35:00,5.25,5.25,5.26,5.25,-0.19,-0.01,1345.0,706718.0,0.19,0.0,5.291,5.3962
2026-01-15 13:40:00,5.26,5.25,5.26,5.25,0.0,0.0,2188.0,1149720.0,0.19,0.0,5.2884,5.39535
2026-01-15 13:45:00,5.25,5.25,5.26,5.25,0.0,0.0,1750.0,919575.0,0.19,0.0,5.2858,5.394500000000001
2026-01-15 13:50:00,5.25,5.25,5.26,5.25,0.0,0.0,15065.0,7912303.0,0.19,0.01,5.283200000000001,5.3937
2026-01-15 13:55:00,5.25,5.25,5.26,5.25,0.0,0.0,3264.0,1715291.0,0.19,0.0,5.280600000000001,5.3929
2026-01-15 14:00:00,5.25,5.25,5.26,5.25,0.0,0.0,2981.0,1566405.0,0.19,0.0,5.2780000000000005,5.39205
2026-01-15 14:05:00,5.25,5.25,5.26,5.25,0.0,0.0,1822.0,957028.0,0.19,0.0,5.275400000000001,5.39125
2026-01-15 14:10:00,5.25,5.25,5.26,5.25,0.0,0.0,2870.0,1507951.0,0.19,0.0,5.273000000000001,5.3904
2026-01-15 14:15:00,5.25,5.24,5.26,5.24,-0.19,-0.01,21010.0,11029637.0,0.38,0.01,5.270600000000001,5.389550000000001
2026-01-15 14:20:00,5.25,5.25,5.25,5.24,0.19,0.01,2290.0,1201268.0,0.19,0.0,5.268400000000001,5.38875
2026-01-15 14:25:00,5.24,5.24,5.25,5.24,-0.19,-0.01,3898.0,2044906.0,0.19,0.0,5.265999999999999,5.387899999999999
2026-01-15 14:30:00,5.24,5.24,5.25,5.24,0.0,0.0,16643.0,8727460.0,0.19,0.01,5.263999999999999,5.38705
2026-01-15 14:35:00,5.24,5.24,5.25,5.23,0.0,0.0,43202.0,22623956.0,0.38,0.02,5.262,5.3862
2026-01-15 14:40:00,5.23,5.24,5.25,5.23,0.0,0.0,15842.0,8300525.0,0.38,0.01,5.26,5.385350000000001
2026-01-15 14:45:00,5.24,5.24,5.25,5.23,0.0,0.0,8082.0,4235631.0,0.38,0.0,5.2582,5.3845
2026-01-15 14:50:00,5.24,5.23,5.25,5.23,-0.19,-0.01,12043.0,6305655.0,0.38,0.01,5.255999999999999,5.3836
2026-01-15 14:55:00,5.24,5.24,5.24,5.23,0.19,0.01,10334.0,5407367.0,0.19,0.0,5.255,5.382700000000001
2026-01-15 15:00:00,5.23,5.24,5.25,5.23,0.0,0.0,10086.0,5282414.0,0.38,0.0,5.2543999999999995,5.381800000000001
2026-01-16 09:35:00,5.25,5.26,5.26,5.24,0.38,0.02,22539.0,11843391.0,0.38,0.01,5.254,5.38105
2026-01-16 09:40:00,5.26,5.26,5.27,5.25,0.0,0.0,23850.0,12547875.0,0.38,0.01,5.2538,5.380300000000001
2026-01-16 09:45:00,5.26,5.26,5.27,5.26,0.0,0.0,13631.0,7176669.0,0.19,0.01,5.2532000000000005,5.37955
2026-01-16 09:50:00,5.26,5.26,5.27,5.26,0.0,0.0,8643.0,4548675.0,0.19,0.0,5.2532000000000005,5.37875
2026-01-16 09:55:00,5.26,5.28,5.28,5.26,0.38,0.02,20968.0,11050835.0,0.38,0.01,5.253399999999999,5.378100000000001
2026-01-16 10:00:00,5.27,5.27,5.28,5.27,-0.19,-0.01,9818.0,5176908.0,0.19,0.0,5.2534,5.37735
2026-01-16 10:05:00,5.27,5.26,5.28,5.26,-0.19,-0.01,12224.0,6440223.0,0.38,0.01,5.2532000000000005,5.37655
2026-01-16 10:10:00,5.26,5.26,5.27,5.26,0.0,0.0,9927.0,5222908.0,0.19,0.0,5.252999999999999,5.37575
2026-01-16 10:15:00,5.25,5.25,5.26,5.25,-0.19,-0.01,4967.0,2608821.0,0.19,0.0,5.2528,5.37495
2026-01-16 10:20:00,5.25,5.26,5.27,5.25,0.19,0.01,7753.0,4076551.0,0.38,0.0,5.2526,5.374149999999999
2026-01-16 10:25:00,5.27,5.27,5.27,5.26,0.19,0.01,1902.0,1001277.0,0.19,0.0,5.2526,5.37335
2026-01-16 10:30:00,5.26,5.21,5.27,5.2,-1.14,-0.06,149293.0,78017285.0,1.33,0.06,5.251600000000001,5.37225
2026-01-16 10:35:00,5.21,5.2,5.22,5.18,-0.19,-0.01,103418.0,53779804.0,0.77,0.04,5.2501999999999995,5.37105
2026-01-16 10:40:00,5.19,5.18,5.2,5.18,-0.38,-0.02,27566.0,14306059.0,0.38,0.01,5.2486,5.369799999999999
2026-01-16 10:45:00,5.19,5.19,5.2,5.18,0.19,0.01,18576.0,9638653.0,0.39,0.01,5.2474,5.36865
2026-01-16 10:50:00,5.19,5.18,5.2,5.18,-0.19,-0.01,16605.0,8618379.0,0.39,0.01,5.246,5.36745
2026-01-16 10:55:00,5.2,5.19,5.2,5.18,0.19,0.01,12995.0,6743807.0,0.39,0.01,5.2446,5.36625
2026-01-16 11:00:00,5.18,5.19,5.19,5.18,0.0,0.0,10322.0,5359268.0,0.19,0.0,5.2434,5.3651
2026-01-16 11:05:00,5.19,5.18,5.2,5.18,-0.19,-0.01,10854.0,5632539.0,0.39,0.0,5.2418000000000005,5.3639
2026-01-16 11:10:00,5.18,5.18,5.19,5.18,0.0,0.0,7674.0,3979388.0,0.19,0.0,5.240400000000001,5.3627
2026-01-16 11:15:00,5.18,5.19,5.19,5.18,0.19,0.01,9421.0,4882936.0,0.19,0.0,5.2392,5.361500000000001
2026-01-16 11:20:00,5.19,5.2,5.2,5.18,0.19,0.01,4892.0,2538077.0,0.39,0.0,5.238,5.3603499999999995
2026-01-16 11:25:00,5.2,5.2,5.2,5.19,0.0,0.0,3275.0,1702250.0,0.19,0.0,5.237,5.3591999999999995
2026-01-16 11:30:00,5.19,5.19,5.2,5.18,-0.19,-0.01,21901.0,11354711.0,0.38,0.01,5.2358,5.358
2026-01-16 13:05:00,5.19,5.17,5.19,5.17,-0.39,-0.02,38148.0,19764408.0,0.39,0.02,5.234400000000001,5.356700000000001
